,ucl_id,operator_intid,operator_altid,operator_name,lat,lon,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,neighbors_1,neighbors_2
673,549,549,549,"Gaywood  Street, Elephant &amp; Castle",51.49605,-0.10419300000000001,25,45,12,45,2012-03-12 11:20:17,2020-02-14 17:38:02,"[324, 297]","[297, 324, 262, 548, 92]"
674,612,612,612,"Wandsworth Rd, Isley Court, Wandsworth Road",51.46926,-0.14181300000000002,27,30,5,30,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[677, 714, 640, 602, 690]"
675,403,403,403,"George Place Mews, Marylebone",51.516892999999996,-0.15825,8,16,8,16,2011-06-29 15:40:02,2020-02-14 17:38:02,"[99, 514, 121]","[514, 99, 121, 400, 43]"
676,411,411,411,"Walworth Road, Elephant &amp; Castle",51.493373,-0.09968099999999999,6,30,31,33,2015-05-21 15:06:02,2020-02-14 17:38:02,"[409, 152]","[409, 152, 324, 549, 156]"
677,297,297,297,"Geraldine Street, Elephant &amp; Castle",51.496128000000006,-0.106001,0,17,13,17,2011-08-16 12:12:53,2020-02-14 17:38:02,"[548, 549]","[549, 548, 324, 371, 235]"
678,577,577,577,"Globe Town Market, Bethnal Green",51.528869,-0.047548,3,20,8,20,2012-03-12 11:20:17,2020-02-14 17:38:02,[485],"[485, 520, 531, 446, 444]"
679,535,535,535,"Gloucester Avenue, Camden Town",51.537349,-0.147154,1,24,14,24,2012-03-12 11:20:17,2020-02-14 17:38:02,"[343, 456]","[456, 343, 545, 572, 713]"
680,113,113,113,"Gloucester Road (Central), South Kensington",51.496463,-0.183289,8,19,6,19,2010-08-06 01:00:00,2020-02-14 17:38:02,"[405, 97, 128]","[97, 128, 405, 378, 392]"
681,97,97,97,"Gloucester Road (North), Kensington",51.497925,-0.183835,11,16,8,18,2010-08-06 01:00:00,2020-02-14 17:38:02,[113],"[113, 128, 392, 378, 405]"
682,91,91,91,"Walnut Tree Walk, Vauxhall",51.493686,-0.111015,6,20,3,20,2010-08-06 01:00:00,2020-02-14 17:38:02,"[117, 235]","[235, 117, 441, 297, 371]"
683,770,770,770,"Gwendwr Road, West Kensington",51.491026,-0.209121,14,30,8,30,2015-01-12 21:14:02,2020-02-14 17:38:02,"[633, 660]","[633, 660, 707, 720, 608]"
684,61,61,61,"Great Dover Street, The Borough",51.497383,-0.089447,11,33,0,33,2015-05-21 15:04:01,2020-02-14 17:38:02,[],"[317, 308, 94, 269, 295]"
685,652,652,652,"Evesham Street, Avondale",51.511487,-0.21819000000000002,22,29,14,29,2014-02-19 18:15:01,2020-02-14 17:38:02,"[771, 740, 754, 741]","[741, 740, 754, 771, 566]"
686,717,717,717,"Dunston Road , Haggerston",51.536584999999995,-0.075886,35,43,4,43,2014-02-19 18:15:01,2020-02-14 17:38:02,"[748, 466]","[466, 748, 749, 463, 699]"
687,36,36,36,"De Vere Gardens, Kensington",51.501737,-0.184981,9,29,0,28,2010-08-06 01:00:00,2020-02-14 17:38:02,[404],"[404, 266, 350, 97, 258]"
688,209,209,209,"Denyer Street, Knightsbridge",51.493584000000006,-0.165101,5,30,16,30,2010-08-06 01:00:00,2020-02-14 17:38:02,[163],"[163, 220, 395, 280, 250]"
689,133,133,133,"Derry Street, Kensington",51.501365,-0.191462,16,18,17,18,2010-08-06 01:00:00,2020-02-14 17:38:02,"[277, 375, 157, 168]","[157, 277, 375, 168, 103]"
690,496,496,496,"Devons Road, Bow",51.52512,-0.015578,34,39,1,39,2012-03-12 11:20:17,2020-02-14 17:38:02,[],"[495, 484, 468, 498, 519]"
691,87,87,87,"Devonshire Square, Liverpool Street",51.516467999999996,-0.079685,9,16,14,16,2010-08-06 01:00:00,2020-02-14 17:38:02,"[779, 263, 251, 217, 506]","[217, 263, 251, 779, 506]"
692,397,397,397,"Devonshire Terrace, Bayswater",51.51348,-0.17977,1,16,7,16,2011-06-29 15:40:02,2020-02-14 17:38:02,[524],"[524, 330, 164, 153, 290]"
693,317,317,317,"Dickens Square, Borough",51.496790999999995,-0.093913,9,32,9,32,2010-08-06 01:00:00,2020-02-14 17:38:02,"[249, 156]","[249, 156, 61, 295, 125]"
694,708,708,708,"Disraeli Road, Putney",51.461611,-0.216146,20,32,29,33,2014-02-19 18:15:01,2020-02-14 17:38:02,"[709, 694, 743]","[694, 709, 743, 678, 693]"
695,237,237,237,"Dock Street, Wapping",51.509786,-0.068162,0,0,16,30,2016-06-22 09:28:02,2020-02-14 17:38:02,[490],"[490, 202, 46, 489, 452]"
696,782,782,782,"Halford Road, West Kensington",51.483911,-0.19760899999999998,16,24,8,24,2016-04-01 11:52:01,2020-02-14 17:38:02,[],"[639, 626, 737, 691, 720]"
697,580,580,580,"Doddington Grove, Kennington",51.486928999999996,-0.102996,13,36,1,36,2015-01-12 21:14:02,2020-02-14 17:38:02,[435],"[435, 62, 412, 149, 152]"
698,25,25,25,"Doric Way , Somers Town",51.528834,-0.13225,1,31,38,50,2010-08-06 01:00:00,2020-02-14 17:38:02,"[797, 214, 795]","[795, 214, 797, 20, 69]"
699,683,683,683,"Dorothy Road, Clapham Junction",51.465064,-0.163751,19,28,26,28,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[777, 609, 764, 638, 768]"
700,201,201,201,"Dorset Square, Marylebone",51.522597,-0.161113,1,16,10,16,2010-08-06 01:00:00,2020-02-14 17:38:02,"[114, 45]","[45, 114, 605, 182, 760]"
701,154,154,154,"Waterloo Station 3, Waterloo",51.503792,-0.11282400000000001,7,34,30,35,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 273, 272, 336, 173, 377, 374, 361]","[361, 374, 173, 377, 197]"
702,589,589,589,"Drayton Gardens, West Chelsea",51.487196000000004,-0.179369,1,18,1,18,2015-05-21 15:38:02,2020-02-14 17:38:02,[573],"[573, 430, 755, 216, 757]"
703,521,521,521,"Driffield Road, Old Ford",51.534137,-0.037366,7,19,11,19,2012-03-12 11:20:17,2020-02-14 17:38:02,[459],"[459, 517, 531, 471, 518]"
704,20,0,0,"Drummond Street , Euston",51.527326,-0.136053,0,28,6,28,2018-12-13 09:14:02,2020-02-14 17:38:02,"[98, 65, 69, 795]","[69, 65, 98, 795, 25]"
705,701,701,701,"Vicarage Crescent, Battersea",51.472876,-0.176267,11,30,5,30,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[642, 653, 679, 700, 780]"
706,610,610,610,"Danvers Street, West Chelsea",51.482568,-0.172078,1,21,5,21,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[755, 662, 529, 680, 649]"
707,49,49,49,"Curzon Street, Mayfair",51.507069,-0.145904,15,16,3,16,2010-08-06 01:00:00,2020-02-14 17:38:02,"[528, 382, 541]","[528, 541, 382, 380, 53]"
708,298,298,298,"Curlew Street, Shad Thames",51.50228,-0.074189,4,21,6,21,2010-08-06 01:00:00,2020-02-14 17:38:02,[],"[818, 85, 278, 452, 134]"
709,827,827,827,"Cranmer Road, Stockwell",51.479601,-0.111472,0,24,5,24,2018-02-09 16:52:02,2020-02-14 17:38:02,[],"[603, 440, 654, 802, 149]"
710,338,338,338,"Wellington Street , Strand",51.511756,-0.11964300000000001,15,15,5,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[335, 256, 388, 594, 564, 309]","[335, 388, 309, 564, 594]"
711,533,533,533,"Wellington Row, Bethnal Green",51.528222,-0.069743,4,33,1,33,2012-03-12 11:20:17,2020-02-14 17:38:02,"[486, 702]","[486, 702, 322, 401, 534]"
712,796,796,796,"Coram Street, Bloomsbury",51.524,-0.12641,2,29,15,29,2016-03-31 18:18:02,2020-02-14 17:38:02,"[77, 16, 11, 287]","[287, 77, 16, 11, 89]"
713,110,110,110,"Wellington Road, St. John's Wood",51.533043,-0.172529,2,17,5,17,2010-08-06 01:00:00,2020-02-14 17:38:02,[590],"[590, 7, 312, 247, 363]"
714,62,62,62,"Cotton Garden Estate, Kennington",51.490758,-0.106324,6,24,2,24,2010-08-06 01:00:00,2020-02-14 17:38:02,[435],"[435, 152, 412, 144, 91]"
715,624,624,624,"Courland Grove, Wandsworth Road",51.472918,-0.132103,15,40,5,40,2014-02-19 18:15:01,2020-02-14 17:38:02,[602],"[602, 714, 630, 794, 814]"
716,655,655,655,"Crabtree Lane, Fulham",51.482945,-0.219346,4,27,8,27,2014-02-19 18:15:01,2020-02-14 17:38:02,[711],"[711, 644, 599, 635, 696]"
717,213,213,213,"Wellington Arch, Hyde Park",51.50274,-0.149569,29,36,2,36,2010-08-06 01:00:00,2020-02-14 17:38:02,"[191, 207]","[191, 207, 733, 222, 181]"
718,341,341,341,"Craven Street, Strand",51.508103000000006,-0.126021,1,23,23,23,2010-08-06 01:00:00,2020-02-14 17:38:02,"[354, 325, 229, 64]","[64, 354, 229, 325, 233]"
719,513,513,513,"Watney Market, Stepney",51.514223,-0.055656,5,51,25,51,2012-03-12 11:20:17,2020-02-14 17:38:02,"[450, 464, 443]","[443, 464, 450, 552, 449]"
720,43,43,43,"Crawford Street, Marylebone",51.52026,-0.157184,11,18,0,18,2010-08-06 01:00:00,2020-02-14 17:38:02,"[56, 257, 121]","[121, 56, 257, 400, 201]"
721,431,431,431,"Crinan Street, King's Cross",51.534473999999996,-0.12220299999999999,3,20,19,20,2012-03-12 11:20:17,2020-02-14 17:38:02,"[439, 804]","[804, 439, 806, 593, 674]"
722,682,682,682,"Crisp Road, Hammersmith",51.488108000000004,-0.226606,2,46,4,46,2014-02-19 18:15:01,2020-02-14 17:38:02,[686],"[686, 599, 730, 644, 696]"
723,793,793,793,"Cromer Street, Bloomsbury",51.528279,-0.119559,4,28,21,28,2016-03-31 14:02:02,2020-02-14 17:38:02,"[4, 26, 798, 227]","[26, 4, 798, 227, 593]"
724,80,80,80,"Webber Street , Southwark",51.500694,-0.102091,11,24,17,45,2010-08-06 01:00:00,2020-02-14 17:38:02,"[262, 92, 645]","[645, 262, 92, 196, 421]"
725,552,552,552,"Watney Street, Shadwell",51.511542,-0.056666999999999995,1,27,8,27,2012-03-12 11:20:17,2020-02-14 17:38:02,"[511, 449]","[449, 511, 513, 453, 464]"
726,104,104,104,"Crosswall, Tower",51.511595,-0.07712100000000001,27,34,32,34,2010-10-08 01:00:00,2020-02-14 17:38:02,"[130, 102]","[102, 130, 779, 263, 115]"
727,750,750,750,"Culvert Road, Battersea",51.471096,-0.15785,8,27,0,27,2014-02-19 18:15:01,2020-02-14 17:38:02,[627],"[627, 632, 664, 690, 756]"
728,732,732,732,"Duke Street Hill, London Bridge",51.506304,-0.087263,15,21,20,21,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[194, 276, 10, 587, 706]"
729,18,18,18,"Drury Lane, Covent Garden",51.514771,-0.12222000000000001,24,27,7,27,2010-08-06 01:00:00,2020-02-14 17:38:02,"[358, 283, 751]","[751, 358, 283, 372, 562]"
730,702,702,702,"Durant Street, Bethnal Green",51.528682,-0.06555,3,24,13,24,2014-02-19 18:15:01,2020-02-14 17:38:02,[533],"[533, 534, 486, 507, 512]"
731,124,124,124,"Eaton Square, Belgravia",51.496545000000005,-0.15090499999999998,13,20,20,20,2010-08-06 01:00:00,2020-02-14 17:38:02,[],"[423, 181, 167, 288, 211]"
732,167,167,167,"Eccleston Place, Victoria",51.493951,-0.147624,5,19,17,19,2010-08-06 01:00:00,2020-02-14 17:38:02,"[268, 288]","[288, 268, 124, 424, 423]"
733,173,173,173,"Waterloo Road, South Bank",51.50486,-0.113001,13,15,4,15,2015-03-24 18:12:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 377, 374, 361]","[377, 361, 374, 154, 197]"
734,160,160,160,"Waterloo Place, St. James's",51.506633,-0.131774,11,20,9,20,2010-10-08 01:00:00,2020-02-14 17:38:02,"[233, 228, 226]","[233, 226, 228, 325, 83]"
735,103,103,103,"Vicarage Gate, Kensington",51.504723999999996,-0.19253900000000002,5,18,6,18,2010-08-06 01:00:00,2020-02-14 17:38:02,[277],"[277, 375, 133, 333, 157]"
