,timestamp,trip_count,temp,pressure,wind_speed,rain_1h,humidity,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Thunderstorm,is_weekend,is_holiday,trip_log,is_non_workday,hour,is_rushhour,is_day
66,2018-06-07 00:00:00,329,286.93,1016,4,0.0,77,20,0,1,0,0,0,0,0,0,0,0,0,0,5.799092654460526,0,0,0,0
67,2018-06-08 00:00:00,351,287.94,1017,3,0.0,77,75,0,1,0,0,0,0,0,0,0,0,0,0,5.863631175598097,0,0,0,0
68,2018-06-09 00:00:00,641,286.82,1017,4,0.0,82,90,0,1,0,0,0,0,0,0,0,0,1,0,6.464588303689961,1,0,0,0
69,2018-06-10 00:00:00,608,288.05,1015,3,0.30582562752550485,82,44,0,0,1,0,0,0,0,0,0,0,1,0,6.411818267709897,1,0,0,0
70,2018-06-11 00:00:00,297,286.06,1015,4,0.0,87,20,0,1,0,0,0,0,0,0,0,0,0,0,5.697093486505405,0,0,0,0
71,2018-06-12 00:00:00,238,287.28,1014,4,0.0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,5.476463551931511,0,0,0,0
72,2018-07-01 00:00:00,713,289.83,1014,2,0.0,63,12,0,1,0,0,0,0,0,0,0,0,1,0,6.570882962339584,1,0,0,0
73,2018-07-02 00:00:00,368,293.04,1014,3,0.0,49,68,0,1,0,0,0,0,0,0,0,0,0,0,5.910796644040527,0,0,0,0
74,2018-07-03 00:00:00,252,288.93,1018,4,0.0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,5.53338948872752,0,0,0,0
75,2018-07-04 00:00:00,378,288.61,1018,5,0.0,82,12,0,1,0,0,0,0,0,0,0,0,0,0,5.937536205082426,0,0,0,0
76,2018-07-05 00:00:00,332,290.61,1014,3,0.3,77,44,0,0,0,0,0,0,1,0,0,0,0,0,5.808142489980444,0,0,0,0
77,2018-07-06 00:00:00,362,291.14,1018,1,0.0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8944028342648505,0,0,0,0
78,2018-07-07 00:00:00,712,292.72,1023,1,0.0,82,12,0,1,0,0,0,0,0,0,0,0,1,0,6.569481420414296,1,0,0,0
79,2018-07-08 00:00:00,848,291.57,1024,3,0.0,68,0,1,0,0,0,0,0,0,0,0,0,1,0,6.744059186311348,1,0,0,0
80,2018-07-09 00:00:00,444,292.52,1027,2,0.0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,6.09807428216624,0,0,0,0
81,2018-07-10 00:00:00,270,289.72,1025,5,0.0,77,75,0,1,0,0,0,0,0,0,0,0,0,0,5.602118820879701,0,0,0,0
82,2018-07-11 00:00:00,280,287.81,1023,3,0.0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,5.638354669333745,0,0,0,0
83,2018-07-12 00:00:00,437,288.02,1021,3,0.0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,6.082218910376446,0,0,0,0
84,2018-08-01 00:00:00,344,288.35,1019,4,0.0,68,8,1,0,0,0,0,0,0,0,0,0,0,0,5.84354441703136,0,0,0,0
85,2018-08-02 00:00:00,351,288.77,1022,2,0.0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,5.863631175598097,0,0,0,0
86,2018-08-03 00:00:00,450,292.68,1023,2,0.0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,6.111467339502679,0,0,0,0
87,2018-08-04 00:00:00,739,294.23,1021,3,0.3,64,12,0,0,0,0,0,0,1,0,0,0,1,0,6.606650186198215,1,0,0,0
88,2018-08-05 00:00:00,777,290.83,1024,2,0.0,77,0,1,0,0,0,0,0,0,0,0,0,1,0,6.656726524178391,1,0,0,0
89,2018-08-06 00:00:00,423,291.15,1019,1,0.0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,6.049733455231958,0,0,0,0
90,2018-08-07 00:00:00,318,293.52,1011,2,0.0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,5.765191102784844,0,0,0,0
91,2018-08-08 00:00:00,266,291.68,1006,6,0.0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,5.58724865840025,0,0,0,0
92,2018-08-09 00:00:00,310,289.77,1014,3,0.3,72,92,0,0,0,0,0,0,1,0,0,0,0,0,5.739792912179234,0,0,0,0
93,2018-08-10 00:00:00,215,285.25,1017,3,0.8890842609333818,82,0,0,0,0,0,1,0,0,0,0,0,0,0,5.375278407684165,0,0,0,0
