dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514916000,2018-01-02 18:00:00 +0000 UTC,2643743,,,,283.25,282.15,284.15,1001,,,81,6,240,,,,,,,,,20,721,Haze,haze,50n
1514919600,2018-01-02 19:00:00 +0000 UTC,2643743,,,,282.85,282.15,283.15,999,,,87,6,210,0.3,,,,,,,,64,721,Haze,haze,50n
1514919600,2018-01-02 19:00:00 +0000 UTC,2643743,,,,282.85,282.15,283.15,999,,,87,6,210,0.3,,,,,,,,64,500,Rain,light rain,10n
1514923200,2018-01-02 20:00:00 +0000 UTC,2643743,,,,283.05,282.15,284.15,998,,,81,7,220,0.3,,,,,,,,20,721,Haze,haze,50n
1514923200,2018-01-02 20:00:00 +0000 UTC,2643743,,,,283.05,282.15,284.15,998,,,81,7,220,0.3,,,,,,,,20,500,Rain,light rain,10n
1514923200,2018-01-02 20:00:00 +0000 UTC,2643743,,,,283.05,282.15,284.15,998,,,81,7,220,0.3,,,,,,,,20,300,Drizzle,light intensity drizzle,09n
1514926800,2018-01-02 21:00:00 +0000 UTC,2643743,,,,283.05,282.15,284.15,995,,,81,7,210,0.9,,,,,,,,75,501,Rain,moderate rain,10n
1514926800,2018-01-02 21:00:00 +0000 UTC,2643743,,,,283.05,282.15,284.15,995,,,81,7,210,0.9,,,,,,,,75,310,Drizzle,light intensity drizzle rain,09n
1514930400,2018-01-02 22:00:00 +0000 UTC,2643743,,,,283.69,282.15,285.15,992,,,87,8,210,0.9,,,,,,,,90,501,Rain,moderate rain,10n
1514930400,2018-01-02 22:00:00 +0000 UTC,2643743,,,,283.69,282.15,285.15,992,,,87,8,210,0.9,,,,,,,,90,310,Drizzle,light intensity drizzle rain,09n
1514934000,2018-01-02 23:00:00 +0000 UTC,2643743,,,,284.75,284.15,285.15,989,,,87,7,220,0.9,,,,,,,,92,501,Rain,moderate rain,10n
1514934000,2018-01-02 23:00:00 +0000 UTC,2643743,,,,284.75,284.15,285.15,989,,,87,7,220,0.9,,,,,,,,92,300,Drizzle,light intensity drizzle,09n
1514937600,2018-01-03 00:00:00 +0000 UTC,2643743,,,,285.27,284.15,286.15,988,,,76,11,260,3,,,,,,,,92,502,Rain,heavy intensity rain,10n
1514941200,2018-01-03 01:00:00 +0000 UTC,2643743,,,,283.59,282.15,285.15,989,,,71,13,250,0.9,,,,,,,,92,501,Rain,moderate rain,10n
1514944800,2018-01-03 02:00:00 +0000 UTC,2643743,,,,283.15,282.15,284.15,988,,,66,9,250,,,,,,,,,40,802,Clouds,scattered clouds,03n
1514948400,2018-01-03 03:00:00 +0000 UTC,2643743,,,,282.78,282.15,283.15,989,,,66,15,270,3,,,,,,,,56,502,Rain,heavy intensity rain,10n
1514952000,2018-01-03 04:00:00 +0000 UTC,2643743,,,,280.92,279.15,282.15,989,,,61,10,260,0.9,,,,,,,,40,501,Rain,moderate rain,10n
1514955600,2018-01-03 05:00:00 +0000 UTC,2643743,,,,280.89,280.15,282.15,988,,,57,15,260,0.9,,,,,,,,40,501,Rain,moderate rain,10n
1514959200,2018-01-03 06:00:00 +0000 UTC,2643743,,,,280.63,280.15,281.15,990,,,61,12,260,,,,,,,,,75,803,Clouds,broken clouds,04n
1514962800,2018-01-03 07:00:00 +0000 UTC,2643743,,,,280.35,279.15,281.15,992,,,65,10,270,,,,,,,,,20,801,Clouds,few clouds,02n
1514966400,2018-01-03 08:00:00 +0000 UTC,2643743,,,,280.6,279.15,282.15,992,,,57,12,250,0.3,,,,,,,,75,500,Rain,light rain,10n
1514970000,2018-01-03 09:00:00 +0000 UTC,2643743,,,,281.05,280.15,282.15,994,,,61,12,260,,,,,,,,,75,803,Clouds,broken clouds,04d
1514973600,2018-01-03 10:00:00 +0000 UTC,2643743,,,,281.23,280.15,282.15,996,,,61,12,260,,,,,,,,,75,803,Clouds,broken clouds,04d
1514977200,2018-01-03 11:00:00 +0000 UTC,2643743,,,,282.04,281.15,283.15,997,,,57,11,260,,,,,,,,,75,803,Clouds,broken clouds,04d
1514980800,2018-01-03 12:00:00 +0000 UTC,2643743,,,,282.75,282.15,283.15,998,,,57,11,260,,,,,,,,,75,803,Clouds,broken clouds,04d
1514984400,2018-01-03 13:00:00 +0000 UTC,2643743,,,,283.04,282.15,284.15,998,,,53,12,260,,,,,,,,,90,804,Clouds,overcast clouds,04d
1514988000,2018-01-03 14:00:00 +0000 UTC,2643743,,,,282.93,282.15,283.15,999,,,57,13,270,,,,,,,,,75,803,Clouds,broken clouds,04d
1514991600,2018-01-03 15:00:00 +0000 UTC,2643743,,,,282.65,281.15,284.15,1000,,,53,12,270,,,,,,,,,75,803,Clouds,broken clouds,04d
1514995200,2018-01-03 16:00:00 +0000 UTC,2643743,,,,282.15,281.15,283.15,1000,,,57,10,260,,,,,,,,,75,803,Clouds,broken clouds,04d
1514998800,2018-01-03 17:00:00 +0000 UTC,2643743,,,,281.78,280.15,283.15,1001,,,57,8,250,0.3,,,,,,,,20,500,Rain,light rain,10n
1515002400,2018-01-03 18:00:00 +0000 UTC,2643743,,,,281.95,281.15,283.15,1001,,,61,6,250,,,,,,,,,40,802,Clouds,scattered clouds,03n
1515006000,2018-01-03 19:00:00 +0000 UTC,2643743,,,,281.69,280.15,283.15,1001,,,61,9,250,,,,,,,,,40,802,Clouds,scattered clouds,03n
1515009600,2018-01-03 20:00:00 +0000 UTC,2643743,,,,281.35,280.15,282.15,1001,,,66,8,270,,,,,,,,,75,803,Clouds,broken clouds,04n
1515013200,2018-01-03 21:00:00 +0000 UTC,2643743,,,,281.54,281.15,282.15,1001,,,70,7,240,,,,,,,,,75,803,Clouds,broken clouds,04n
1515016800,2018-01-03 22:00:00 +0000 UTC,2643743,,,,280.65,280.15,281.15,1001,,,75,7,240,,,,,,,,,40,802,Clouds,scattered clouds,03n
1515020400,2018-01-03 23:00:00 +0000 UTC,2643743,,,,280.7,279.15,282.15,1001,,,70,6,250,,,,,,,,,40,802,Clouds,scattered clouds,03n
1515024000,2018-01-04 00:00:00 +0000 UTC,2643743,,,,280.77,280.15,281.15,1001,,,75,6,250,,,,,,,,,40,802,Clouds,scattered clouds,03n
1515027600,2018-01-04 01:00:00 +0000 UTC,2643743,,,,280.15,279.15,281.15,1000,,,75,6,250,,,,,,,,,56,803,Clouds,broken clouds,04n
1515031200,2018-01-04 02:00:00 +0000 UTC,2643743,,,,279.9,279.15,281.15,999,,,70,7,250,0.3,,,,,,,,92,500,Rain,light rain,10n
1515034800,2018-01-04 03:00:00 +0000 UTC,2643743,,,,279.81,279.15,281.15,999,,,70,6,250,0.3,,,,,,,,92,500,Rain,light rain,10n
1515034800,2018-01-04 03:00:00 +0000 UTC,2643743,,,,279.81,279.15,281.15,999,,,70,6,250,0.3,,,,,,,,92,310,Drizzle,light intensity drizzle rain,09n
1515038400,2018-01-04 04:00:00 +0000 UTC,2643743,,,,279.52,279.15,280.15,998,,,87,3,210,0.9,,,,,,,,20,501,Rain,moderate rain,10n
1515038400,2018-01-04 04:00:00 +0000 UTC,2643743,,,,279.52,279.15,280.15,998,,,87,3,210,0.9,,,,,,,,20,310,Drizzle,light intensity drizzle rain,09n
1515042000,2018-01-04 05:00:00 +0000 UTC,2643743,,,,279.52,278.15,281.15,997,,,81,3,240,0.9,,,,,,,,92,501,Rain,moderate rain,10n
1515042000,2018-01-04 05:00:00 +0000 UTC,2643743,,,,279.52,278.15,281.15,997,,,81,3,240,0.9,,,,,,,,92,311,Drizzle,rain and drizzle,09n
1515045600,2018-01-04 06:00:00 +0000 UTC,2643743,,,,279.15,278.15,280.15,996,,,93,2,210,0.9,,,,,,,,75,501,Rain,moderate rain,10n
1515045600,2018-01-04 06:00:00 +0000 UTC,2643743,,,,279.15,278.15,280.15,996,,,93,2,210,0.9,,,,,,,,75,311,Drizzle,rain and drizzle,09n
1515049200,2018-01-04 07:00:00 +0000 UTC,2643743,,,,279.6,278.15,281.15,994,,,93,3,120,0.9,,,,,,,,92,501,Rain,moderate rain,10n
1515049200,2018-01-04 07:00:00 +0000 UTC,2643743,,,,279.6,278.15,281.15,994,,,93,3,120,0.9,,,,,,,,92,310,Drizzle,light intensity drizzle rain,09n
1515052800,2018-01-04 08:00:00 +0000 UTC,2643743,,,,279.84,278.15,282.15,993,,,93,3,90,0.9,,,,,,,,90,311,Drizzle,rain and drizzle,09n
1515052800,2018-01-04 08:00:00 +0000 UTC,2643743,,,,279.84,278.15,282.15,993,,,93,3,90,0.9,,,,,,,,90,501,Rain,moderate rain,10n
